Subject,Model,Accuracy
4,Deep4Net,39.24
5,Deep4Net,25.0
5,Deep4Net,25.0
5,Deep4Net,23.61
5,Deep4Net,23.96
5,Deep4Net,28.82
5,Deep4Net,26.04
5,Deep4Net,24.65
5,Deep4Net,26.39
5,Deep4Net,25.35
5,Deep4Net,25.69
5,Deep4Net,27.78
5,Deep4Net,25.0
5,Deep4Net,28.82
5,Deep4Net,28.47
5,Deep4Net,29.51
5,Deep4Net,26.74
5,Deep4Net,29.17
5,Deep4Net,27.08
5,Deep4Net,28.12
5,Deep4Net,28.12
5,Deep4Net,27.08
5,Deep4Net,27.08
5,Deep4Net,27.43
5,Deep4Net,30.56
5,Deep4Net,25.69
6,Deep4Net,24.31
6,Deep4Net,24.65
6,Deep4Net,23.96
6,Deep4Net,21.88
6,Deep4Net,21.53
6,Deep4Net,25.35
6,Deep4Net,25.69
6,Deep4Net,24.31
6,Deep4Net,22.92
6,Deep4Net,27.43
6,Deep4Net,25.69
6,Deep4Net,26.04
6,Deep4Net,29.51
6,Deep4Net,25.69
6,Deep4Net,27.43
6,Deep4Net,24.65
6,Deep4Net,26.39
6,Deep4Net,25.69
6,Deep4Net,25.69
6,Deep4Net,28.47
6,Deep4Net,22.57
6,Deep4Net,23.96
6,Deep4Net,24.65
6,Deep4Net,27.78
6,Deep4Net,25.0
6,Deep4Net,27.08
6,Deep4Net,24.65
7,Deep4Net,25.35
7,Deep4Net,27.08
7,Deep4Net,22.22
7,Deep4Net,25.69
7,Deep4Net,21.88
7,Deep4Net,24.65
7,Deep4Net,27.08
7,Deep4Net,25.35
7,Deep4Net,28.12
7,Deep4Net,25.35
7,Deep4Net,30.21
7,Deep4Net,24.65
7,Deep4Net,27.43
7,Deep4Net,25.0
7,Deep4Net,28.47
7,Deep4Net,26.39
7,Deep4Net,26.39
7,Deep4Net,25.35
7,Deep4Net,25.69
7,Deep4Net,26.39
7,Deep4Net,26.04
7,Deep4Net,25.69
7,Deep4Net,26.04
7,Deep4Net,28.12
7,Deep4Net,23.96
7,Deep4Net,24.31
7,Deep4Net,23.26
7,Deep4Net,22.92
7,Deep4Net,23.96
7,Deep4Net,25.0
7,Deep4Net,28.12
7,Deep4Net,23.96
7,Deep4Net,25.0
7,Deep4Net,25.0
7,Deep4Net,28.47
7,Deep4Net,26.39
7,Deep4Net,27.08
7,Deep4Net,29.17
7,Deep4Net,28.47
7,Deep4Net,25.0
7,Deep4Net,23.96
8,Deep4Net,26.04
8,Deep4Net,24.31
8,Deep4Net,24.31
8,Deep4Net,29.17
8,Deep4Net,36.11
8,Deep4Net,30.56
8,Deep4Net,30.9
8,Deep4Net,28.12
8,Deep4Net,27.78
8,Deep4Net,26.04
8,Deep4Net,25.0
8,Deep4Net,28.12
8,Deep4Net,27.08
8,Deep4Net,23.96
8,Deep4Net,30.21
8,Deep4Net,26.74
8,Deep4Net,25.0
8,Deep4Net,27.78
8,Deep4Net,26.74
8,Deep4Net,28.82
8,Deep4Net,31.25
8,Deep4Net,31.6
8,Deep4Net,33.68
8,Deep4Net,32.99
8,Deep4Net,30.9
8,Deep4Net,28.12
8,Deep4Net,38.19
8,Deep4Net,34.72
8,Deep4Net,35.07
8,Deep4Net,34.72
8,Deep4Net,32.64
8,Deep4Net,32.99
8,Deep4Net,35.42
8,Deep4Net,30.56
8,Deep4Net,35.07
8,Deep4Net,33.68
8,Deep4Net,33.68
8,Deep4Net,38.54
8,Deep4Net,35.76
8,Deep4Net,34.72
8,Deep4Net,36.46
8,Deep4Net,32.29
8,Deep4Net,36.46
8,Deep4Net,35.07
9,Deep4Net,29.17
9,Deep4Net,26.39
9,Deep4Net,32.29
9,Deep4Net,38.54
9,Deep4Net,45.14
9,Deep4Net,35.42
9,Deep4Net,42.01
9,Deep4Net,40.28
9,Deep4Net,40.28
9,Deep4Net,41.32
9,Deep4Net,35.76
9,Deep4Net,40.97
9,Deep4Net,45.49
9,Deep4Net,34.72
9,Deep4Net,38.54
9,Deep4Net,48.96
9,Deep4Net,41.32
9,Deep4Net,35.07
9,Deep4Net,53.12
9,Deep4Net,44.44
9,Deep4Net,51.04
9,Deep4Net,48.96
9,Deep4Net,47.57
9,Deep4Net,52.78
9,Deep4Net,55.21
9,Deep4Net,52.08
9,Deep4Net,53.12
9,Deep4Net,55.9
9,Deep4Net,55.21
9,Deep4Net,62.5
9,Deep4Net,60.76
9,Deep4Net,56.94
9,Deep4Net,61.81
9,Deep4Net,61.46
9,Deep4Net,59.38
9,Deep4Net,59.03
9,Deep4Net,59.03
9,Deep4Net,56.94
9,Deep4Net,60.07
9,Deep4Net,63.54
9,Deep4Net,61.81
9,Deep4Net,60.76
9,Deep4Net,61.81
9,Deep4Net,65.28
9,Deep4Net,60.07
9,Deep4Net,63.54
9,Deep4Net,62.85
